Date,AAPL,MSFT,AMZN,BRK.B,GOOGL,UNH,JNJ,XOM,JPM,NVDA,PG,TSLA,V,HD,CVX,MA,PFE,ABBV,LLY,MRK,META,PEP,KO,BAC,AVGO,TMO,COST,WMT,MCD,CSCO,ACN,NEE,VZ,DIS,ADBE,BMY,PM,WFC,CMCSA,NKE,RTX,HON,AMGN,NFLX
10/01/2020,117.64,213.49,160.4,214.3,74.18,312.91,149.31,33.79,97.12,137.58,139.58,146.92,202.21,279.44,71.51,342.24,34.99,88.17,148.33,79.31,265.35,139.44,49.44,24.27,368.98,445.97,347.17,140.8,221.59,39.1,227.36,69.77,59.4,124.94,497.43,60.38,74.7,23.57,46.57,127.73,57.82,166.2,255.07,506.03
09/01/2020,132.76,225.51,174.48,216.92,81.61,310.16,153.87,39.75,99.55,134.8,137.86,167.38,212.21,284.03,83.26,357.71,35.82,95.52,148.61,81.38,294.71,140.25,49.31,25.58,350,432.15,336.89,141.2,210.84,42,238.49,69.75,59.12,131.92,515,62.2,79.14,24.02,44.44,112,60.69,163.79,250.05,532.6
08/01/2020,108.2,211.52,159.03,197.28,74.55,303.59,146.39,42.05,97.02,107.32,130.47,96.61,191.8,266.73,83.98,311,36.6,95.19,152.8,78.33,252.65,137.11,47.14,25.03,318,418.25,317.24,129.91,194.33,47.14,225,70.29,57.87,116.17,449.84,59.11,76.53,24.25,42.69,98.03,56.47,150.13,244.85,490.86
07/01/2020,91.28,203.14,137.9,178.41,70.96,295.83,140.69,44.49,94.89,95.21,119.65,72.2,193.85,249.65,89.28,295.96,32.74,98.5,164.32,73.83,228.5,132.53,44.93,24.03,315.11,363.76,294.78,119.45,184.95,46.54,214.5,59.92,55.09,112.82,434.8,59.19,70.13,25.73,39.61,98.5,61.78,145.22,235.52,454
06/01/2020,79.44,182.54,122.4,185.53,71.29,304.02,147.29,45.32,97.75,88.33,116,57.2,194.71,249.41,90.94,300.8,33.65,92.05,154.47,76.45,224.59,131.6,46.66,24.28,290.42,348,300.04,123.44,186.71,47.15,201.54,63.52,56.7,117.26,387.08,59.46,73.35,26.61,39.54,98.4,65,145.49,228.89,418.83
05/01/2020,71.56,175.8,116.84,185.21,66.2,288.39,149.62,45.63,93.5,71.09,117.6,50.33,174.45,216.77,91.51,268.7,35.88,81.95,153.72,75.2,201.6,131.12,45.62,23.38,266,330.38,294.08,121.48,184,41.72,181.71,57.48,57.76,106.36,347.24,60.85,74.55,28.5,37.14,85.67,63.5,139.33,233,415.1
04/01/2020,61.62,153,96.65,176.18,56.2,238.69,127.7,36.86,85.1,63.91,107.95,33.6,156.32,175.91,69.51,230.94,30.26,72.12,134,71.19,161.62,117.27,42.48,19.93,227.99,276.51,275.15,112.15,160.22,38.17,158.57,57.74,52.5,93.5,307,53.62,69.77,27.02,33.16,79.49,52.78,128.28,197.56,376.05
03/01/2020,70.57,165.31,95.32,207.25,67.57,257.34,134.78,52.59,116.63,69.22,113.19,47.42,186.32,219.98,94.02,298.89,32.14,86,127.74,73.55,194.03,132,53.93,28.35,276.76,291.03,286.92,107.6,193.81,40.15,182,63.41,55.16,119.13,349.81,59.57,81.61,40.98,40.34,89.6,77.56,163.09,199.9,373.11
02/01/2020,76.08,170.43,100.53,225.48,73.08,275.13,149.42,61.38,132.66,58.92,124.66,44.91,199.94,230.3,106.95,318.8,35.51,81.31,140.53,82.04,203.44,142.77,58.75,33,305.63,316.81,299.16,114.9,214.99,46.4,205.34,67.17,59.61,139.79,353.41,63.1,82.64,47.24,43.56,99,89.1,174.46,216.39,347.24
01/01/2020,74.06,158.78,93.75,227.51,67.42,293.98,145.87,70.24,139.79,59.69,124.5,28.3,189,219.08,120.81,300.46,37.25,89.08,131.77,86.85,206.75,136.87,55.32,35.35,319.32,326,286.55,118.86,198,48.06,210.86,60.49,61.38,145.29,330,63.85,85.51,53.85,45.36,101.36,88.32,177.5,243,326.1
12/01/2019,66.82,151.81,90.22,220.6,65.13,281.78,137.72,68.5,132.31,54.12,121.94,21.96,184.24,220.9,117.98,290.59,36.77,87.84,117.52,83.47,202.13,136.65,53.32,33.45,317.72,315.66,292.1,119.15,195.38,45.25,201.44,58.43,60.2,152.94,309.22,57.34,82.55,54.31,44.4,94.09,87.52,178.55,234.54,314.39
11/01/2019,62.38,144.26,89.4,213.55,63.29,253.99,132.05,68.39,126.2,49.9,124.83,21.09,180.13,236.07,115.49,279,36.68,80.03,114.07,83.02,192.85,137.55,54.63,31.7,292.99,305,290.38,117.92,197.78,46.85,186.7,59.67,61.29,130.99,279.14,57.99,81.83,52.13,45.19,90.18,85.16,174.29,214.26,288.7
10/01/2019,56.27,139.66,87.3,208.94,61.12,219.19,130.02,70.83,118.4,43.75,124.36,16.1,173.02,233.01,119.27,271.49,34.06,75.89,111.94,80.27,179.15,136.93,54.53,29.44,278.27,291.78,280.69,118.85,211.13,49.65,192.6,58.04,60.4,130.8,278.99,51.09,76.21,50.65,45.18,94.13,80.77,169.55,192.58,267.35
09/01/2019,51.61,136.61,88.5,201.19,59.09,231.74,127.99,67.89,108.98,41.15,119.79,14.94,180.52,226.45,115.77,279.99,33.76,65.78,112.54,82.23,184,136.35,54.98,27.21,280,284.43,285.1,113.68,217.93,46.63,196.36,54.7,57.9,136.37,284.25,47.89,72,46.31,43.89,84,75.89,163.51,207.3,290.82
08/01/2019,53.48,137,93.59,205.63,60.88,249.19,130.26,73.74,115.33,42.28,118.56,16.18,179.19,214.14,122,273.93,36.32,66.93,109.02,79.2,194.17,128.96,52.78,30.55,289.13,279.45,268.71,110.32,211.18,55.84,193.33,51.66,57.11,143.34,299.15,44.55,84.3,48.41,43.19,85.26,78.63,171.89,186.4,324.25
07/01/2019,50.79,136.63,96.15,214.25,55.05,245.95,140.2,77.13,113.23,43.14,109.92,15.35,175.33,209.7,125.36,269.99,41.25,73.5,111.31,80.41,195.21,131.99,51.07,29.48,301.68,299.13,259.63,111.3,208.86,55.26,184.83,51.09,57.42,140.45,299.55,45.71,78.8,47.88,42.65,84.93,77.37,176.63,186.88,373.5
06/01/2019,43.9,123.85,88,197.62,53.35,241.49,131.5,71.09,105.8,33.98,103.15,12.37,161.54,189.52,114.7,251.8,39.46,76.63,116.53,75.95,175,127.86,49.16,26.59,252.55,268.29,233.66,101.63,198.36,52.05,177.87,49.73,54.68,132.02,270.51,45.26,77.51,44.24,41.03,77.24,74.58,164.48,172,343.56
05/01/2019,52.47,130.53,96.65,217.22,59.88,233.07,140.95,79.94,115.72,45.78,106.15,15.92,165.54,203.2,119.8,254.9,38.48,79.6,117.05,75.03,194.78,127.85,48.95,30.56,320.5,277.18,239.08,102.77,195.87,56,183.2,48.38,57.23,137.49,291,46.32,87.05,48.32,43.48,87.73,84.34,173.76,175.4,374
04/01/2019,47.91,118.95,90.01,202.16,59.38,249.71,139.99,81.23,102.15,45.81,104.23,18.84,157.53,192.99,123.87,238.3,40.36,80.98,130.71,79.84,167.83,122.59,46.99,27.9,303.11,275.14,236.87,97.97,190.5,54.47,175.5,48.35,59.39,111.59,269.85,48.05,88.38,48.43,40.34,85.04,76.67,160,191.14,359
03/01/2019,43.57,112.89,82.76,203.15,56.55,243.56,137.22,79.38,105.1,39.07,98.61,20.46,149.46,185.82,120.39,226.88,41.34,79.77,127.25,77.96,162.6,115.86,45.47,29.33,277.73,261,214.15,99.47,184.59,52,163,46.88,57.02,113.45,265.75,51.67,87.42,50.23,38.85,86.93,74.89,154.99,191.39,362.26
02/01/2019,41.74,103.78,81.94,206.52,56.11,268.47,134.02,74.92,104,36.13,96.35,20.36,135.39,184.03,116.65,211.99,40.64,80.25,120.32,72.44,165.84,112.95,48.48,28.6,269.15,245.37,208.54,95.92,179.55,47.37,154.25,44.59,55.21,111.97,247.82,49.01,77.03,49,36.71,81.83,70.54,148.7,186.51,337.18
01/01/2019,38.72,99.55,73.26,201.73,51.36,245,128.13,67.35,95.95,32.66,91.03,20.41,130,169.71,107.34,185.83,40.88,91.24,114.79,71.79,128.99,109.15,46.94,24.08,248.85,219.86,195.38,91.64,175.41,42.28,138.93,43.17,56.16,108.1,219.91,51.34,66.13,45.53,33.49,72.79,62.02,130.19,192.52,259.28
12/01/2018,46.12,113,88.47,221.98,56.61,283,145.57,80.24,112.38,43.15,94.67,24,145,183.29,120.77,206.01,43.96,94.32,118.64,75.82,143,120.48,49.87,28.99,245.2,253.65,224.83,98.02,188.1,48.32,165.97,45.1,59.5,116.65,260.71,53.58,86.53,54.78,39.09,77.1,73.01,150,208.1,293.19
11/01/2018,54.76,107.05,81.18,205.6,54.57,262.92,140.07,79.83,109.62,53.08,88.81,22.55,139,176.84,111.76,198.89,40.95,77.71,108.74,70.37,151.52,112,47.81,27.77,225.16,234.52,222.36,99.96,176.67,45.67,157.9,43.38,56.98,115.2,245.69,50.68,88.33,53.43,38.1,75.23,74.14,145.44,192.81,304.59
10/01/2018,56.99,114.75,101.1,215.92,60.65,267.25,138.26,85.35,113.37,71.04,83.31,20.38,150.89,208.52,123.11,224.84,41.74,94.74,107.67,67.77,163.03,112.15,46.17,29.68,247.88,245.92,229.79,94.29,168.37,49,171.14,41.85,53.61,117.28,271.76,62.37,81.41,52.74,35.53,85.1,83.25,161.08,207.73,375.85
09/01/2018,57.1,110.85,101.32,209.21,61.13,268,134.69,80.41,114.34,70.04,82.48,19.8,146.93,200.69,118.93,215.68,39.32,95.97,105.31,65.19,173.5,111.82,44.6,30.91,218.59,238.89,227.19,95.8,161.81,47.84,168.76,42.56,53.55,111.8,263.67,60.5,78,58.45,36.75,79.39,77.83,152.3,199.25,366.47
08/01/2018,49.78,106.03,89.2,198.8,61.96,256.1,132.39,80.89,115.75,61.53,80.42,19.87,137.74,196.86,125.31,199.27,37.57,92.29,98.74,62.66,173.93,114.42,46.45,31.22,223.26,234.16,213.07,88.86,156.57,41.99,160.31,41.77,52.02,113.68,245,58.86,86.03,57.96,35.9,76.5,79.29,153.11,196.33,335.87
07/01/2018,45.95,98.1,84.14,186.09,55.77,245,121.34,81.89,103.72,58.52,77.5,24,131.96,193.82,125.28,195.74,34.13,92.06,85.06,57.74,193.37,108.7,43.78,28.08,240.09,205.74,203.1,85.65,155.99,42.56,161.9,41.91,50.25,104.15,241.05,55.17,80.62,55.2,32.44,78.58,73.06,137.26,184.09,385.45
06/01/2018,47,99.28,81.85,192.9,55.64,243.74,120.38,81.87,108.34,63.5,73.33,19.06,131.84,187.21,125.49,192.03,34.37,97.93,85.2,57.11,193.07,100.54,43.1,29.49,254.37,210,190.46,83.04,159.9,42.91,156.94,41.42,47.89,99.69,250.55,52.91,79.45,54.56,31.34,72.12,74.28,142.52,180.75,353.88
05/01/2018,41.6,93.21,78.16,193.76,50.81,237,126.32,77.26,108.45,56.14,72.05,19.57,126.86,184.73,124.03,178.27,33.73,102.1,80.68,56.26,172,100.36,42.96,29.92,230.85,210.44,191.48,87.67,166.38,43.91,151.09,40.92,49.49,100.18,220.77,51.98,81.4,51.76,31.38,67.98,70.78,138.23,172.15,310.36
